symbol,ensembl_ID,User_ID,baseMean,CTLIO-TIO_log2FC,CTLIO-TIO_adjPval,Processed data:,search_label,cio1LHL10698_L4,cio2LHL10702_L4,cio3LHL10704_L4,tio1LHL10699_L4,tio2LHL10703_L4,tio3LHL10705_L4,c-io-1-LHL10698_L4,c-io-2-LHL10702_L4,c-io-3-LHL10704_L4,t-io-1-LHL10699_L4,t-io-2-LHL10703_L4,t-io-3-LHL10705_L4
Nav2,ENSMUSG00000052512,ENSMUSG00000052512,2568.776856,-0.611342021,0.999848702,,Nav2 | ENSMUSG00000052512,9.32251899,11.93524571,10.60104442,8.574822655,11.7578569,12.42062637,473,2899,7457,268,3459,5437
Hnrnpa2b1,ENSMUSG00000004980,ENSMUSG00000004980,1718.610986,-0.425167994,0.999848702,,Hnrnpa2b1 | ENSMUSG00000004980,11.00045643,9.612251438,10.62781043,9.87038535,9.80094996,11.99929718,1520,577,7597,662,888,4059
Myh9,ENSMUSG00000022443,ENSMUSG00000022443,1671.235588,-0.656313873,0.999848702,,Myh9 | ENSMUSG00000022443,11.18681517,2,10.61601813,12.12189261,9.06074584,10.17458984,1730,0,7535,3163,530,1143
Thra,ENSMUSG00000058756,ENSMUSG00000058756,1464.673417,0.02815838,0.999848702,,Thra | ENSMUSG00000058756,9.472103222,11.07985787,10.62040395,8.692412148,9.962946089,11.52715584,525,1601,7558,291,994,2925
Sfpq,ENSMUSG00000028820,ENSMUSG00000028820,998.8828124,-0.486608169,0.999848702,,Sfpq | ENSMUSG00000028820,7.966735351,9.710797711,10.4715127,2,7.36637128,11.70575826,183,618,6815,0,161,3311
Marcksl1,ENSMUSG00000047945,ENSMUSG00000047945,2201.835755,0.286788882,0.999848702,,Marcksl1 | ENSMUSG00000047945,10.8082137,11.88619834,10.72592785,9.778554391,11.79608984,10.57795483,1330,2802,8133,621,3552,1513
Ywhaz,ENSMUSG00000022285,ENSMUSG00000022285,1526.767064,0.130525741,0.999848702,,Ywhaz | ENSMUSG00000022285,10.86029555,10.33475269,10.68736882,10.36518011,10.63122721,10.5315672,1379,954,7918,934,1582,1465
Epb41l2,ENSMUSG00000019978,ENSMUSG00000019978,2494.34966,-0.787338203,0.999848702,,Epb41l2 | ENSMUSG00000019978,9.334592489,11.65399718,10.67440561,10.63542371,11.5008921,12.28738472,477,2385,7847,1127,2894,4957
Peli1,ENSMUSG00000020134,ENSMUSG00000020134,1131.207209,0.11076141,0.999848702,,Peli1 | ENSMUSG00000020134,4.747804895,10.95497805,10.57357576,7.661852217,10.12028798,10.93651025,17,1468,7316,141,1109,1941
Sox2ot,ENSMUSG00000105265,ENSMUSG00000105265,710.015459,1.655333909,0.955460351,,Sox2ot | ENSMUSG00000105265,8.393413218,10.50786286,10.50510527,6.322383572,9.581250604,7.588178071,247,1076,6976,54,762,187
Atp2a2,ENSMUSG00000029467,ENSMUSG00000029467,996.2218096,0.274626674,0.999848702,,Atp2a2 | ENSMUSG00000029467,8.802705973,10.39382945,10.54336636,2,10.44506499,10.36519426,329,994,7164,0,1390,1305
ENSMUSG00000129312,ENSMUSG00000129312,ENSMUSG00000129312,5567.787253,-0.72389757,0.999848702,,ENSMUSG00000129312,12.67243449,12.55265801,6.225813618,13.27033104,12.88955422,11.7105376,4850,4449,341,7015,7584,3322
Caprin1,ENSMUSG00000027184,ENSMUSG00000027184,1182.14352,-0.183206151,0.999848702,,Caprin1 | ENSMUSG00000027184,8.77195998,10.44640209,10.55177714,9.186452791,11.10005542,9.973830471,322,1031,7206,411,2191,994
Sulf2,ENSMUSG00000006800,ENSMUSG00000006800,1304.417382,0.631769988,0.999848702,,Sulf2 | ENSMUSG00000006800,10.26694343,10.97252498,10.57671921,2,10.3049718,10.82393345,913,1486,7332,0,1261,1795
Rrbp1,ENSMUSG00000027422,ENSMUSG00000027422,553.2416336,1.07608845,0.999848702,,Rrbp1 | ENSMUSG00000027422,7.722159483,9.383611706,10.43495572,9.695254168,7.948416702,2,154,492,6644,586,243,0
Bsg,ENSMUSG00000023175,ENSMUSG00000023175,1946.512235,-2.564995756,0.940702992,,Bsg | ENSMUSG00000023175,10.33913365,2,8.647519311,13.2182126,8.873493969,2,960,0,1911,6766,465,0
Sptbn1,ENSMUSG00000020315,ENSMUSG00000020315,3872.604922,-1.183303074,0.999848702,,Sptbn1 | ENSMUSG00000020315,11.1203737,11.59982738,10.80226912,13.03094201,11.72754529,12.09776793,1652,2297,8576,5942,3387,4346
Gas7,ENSMUSG00000033066,ENSMUSG00000033066,835.490605,1.187243005,NA,,Gas7 | ENSMUSG00000033066,9.976552282,10.09592593,10.44445106,2,2,10.5827022,746,808,6688,0,0,1518
Septin4,ENSMUSG00000020486,ENSMUSG00000020486,1190.646271,0.551535268,0.999848702,,Septin4 | ENSMUSG00000020486,10.82007029,9.946088419,10.51599475,2,9.998640518,10.87823362,1341,728,7029,0,1019,1864
Luzp2,ENSMUSG00000063297,ENSMUSG00000063297,626.2496613,1.425586546,0.999848702,,Luzp2 | ENSMUSG00000063297,8.607559026,9.95788221,10.41533656,3.931966806,7.774836426,9.638456879,287,734,6554,8,215,787
mt-Nd2,ENSMUSG00000064345,ENSMUSG00000064345,2006.085893,-0.913549703,0.999848702,,mt-Nd2 | ENSMUSG00000064345,10.62004147,10.01356465,10.62439678,10.92171332,11.52996875,11.53990591,1167,763,7579,1375,2953,2951
Elavl3,ENSMUSG00000003410,ENSMUSG00000003410,1551.333112,1.21045613,0.999848702,,Elavl3 | ENSMUSG00000003410,11.37466818,11.20058636,10.55337365,2,10.61843566,10.2812382,1971,1741,7214,0,1568,1231
Ppp2ca,ENSMUSG00000020349,ENSMUSG00000020349,838.1057078,0.33724279,0.999848702,,Ppp2ca | ENSMUSG00000020349,9.585061467,9.395223836,10.42779297,7.468979532,10.63031728,8.881249542,568,496,6611,123,1581,464
