Gene	c-io-1-LHL10698_L4	c-io-2-LHL10702_L4	c-io-3-LHL10704_L4	t-io-1-LHL10699_L4	t-io-2-LHL10703_L4	t-io-3-LHL10705_L4
ENSMUSG00000002329	0	0	82	0	0	0
ENSMUSG00000002341	261	77	3747	223	79	246
ENSMUSG00000002342	0	0	678	0	0	0
ENSMUSG00000002343	0	0	302	0	0	0
ENSMUSG00000002346	0	0	108	0	208	0
ENSMUSG00000002365	0	0	934	0	0	0
ENSMUSG00000002379	0	0	2610	0	0	0
ENSMUSG00000002393	0	0	400	0	65	0
ENSMUSG00000002395	73	0	118	0	0	3
ENSMUSG00000002409	0	0	953	260	0	0
ENSMUSG00000002413	0	91	559	0	349	0
ENSMUSG00000002416	0	194	0	0	0	0
ENSMUSG00000002455	0	426	0	0	0	0
ENSMUSG00000002458	0	488	0	0	0	0
ENSMUSG00000002477	0	45	0	0	27	0
ENSMUSG00000002489	0	0	414	2668	0	0
ENSMUSG00000002496	246	242	883	33	0	20
ENSMUSG00000002504	396	0	197	0	319	0
ENSMUSG00000002524	754	432	2111	0	392	95
ENSMUSG00000002546	442	276	1293	0	837	357
ENSMUSG00000002550	0	0	381	0	311	0
ENSMUSG00000002580	0	0	0	0	0	43
ENSMUSG00000002603	25	64	0	294	0	129
ENSMUSG00000002608	0	0	1580	0	0	0
ENSMUSG00000002617	0	0	410	0	0	0
ENSMUSG00000002625	0	107	418	0	0	0
ENSMUSG00000002635	0	0	281	0	0	0
ENSMUSG00000002658	350	160	743	442	488	0
ENSMUSG00000002660	63	82	0	0	0	0
ENSMUSG00000002668	0	49	0	0	0	0
ENSMUSG00000002679	0	0	105	0	0	0
ENSMUSG00000002699	179	0	144	0	0	0
ENSMUSG00000002718	0	0	287	0	0	0
ENSMUSG00000002728	0	0	5	0	0	0
ENSMUSG00000002741	0	0	1032	642	0	244
ENSMUSG00000002748	301	282	3738	432	123	488
ENSMUSG00000002763	0	142	0	0	0	0
ENSMUSG00000002767	0	0	0	0	0	88
ENSMUSG00000002768	102	0	355	0	0	0
ENSMUSG00000002778	53	0	531	0	0	0
ENSMUSG00000002797	178	0	316	0	84	0
ENSMUSG00000002799	27	0	3	0	0	0
ENSMUSG00000002803	0	0	485	0	0	0
ENSMUSG00000002808	0	50	0	0	0	0
ENSMUSG00000002812	0	181	789	0	63	0
ENSMUSG00000002820	0	0	0	0	339	0
ENSMUSG00000002833	124	281	1463	0	110	0
ENSMUSG00000002835	0	0	494	0	2	0
ENSMUSG00000002844	0	0	0	606	278	0
ENSMUSG00000002846	30	91	127	0	0	93
ENSMUSG00000002870	0	0	73	2	0	0
ENSMUSG00000002871	32	0	0	0	49	0
ENSMUSG00000002881	0	0	2555	0	461	0
ENSMUSG00000002885	0	0	0	22	6	267
ENSMUSG00000002897	0	290	739	0	0	0
ENSMUSG00000002900	0	0	0	314	0	0
ENSMUSG00000002910	72	17	14	0	0	0
ENSMUSG00000002948	77	0	0	0	0	0
ENSMUSG00000002949	48	0	290	0	66	490
ENSMUSG00000002957	72	210	2006	12	178	0
ENSMUSG00000002963	0	0	283	0	0	0
ENSMUSG00000002968	79	17	420	0	0	0
ENSMUSG00000002980	20	0	8	0	0	0
ENSMUSG00000002981	60	121	3424	0	152	373
ENSMUSG00000002984	31	220	758	0	243	109
ENSMUSG00000002985	2146	1057	15031	4162	835	391
ENSMUSG00000002997	0	0	714	0	0	0
ENSMUSG00000003031	0	0	454	0	0	0
ENSMUSG00000003033	0	62	989	0	252	0
ENSMUSG00000003038	0	192	358	0	188	0
ENSMUSG00000003039	0	0	523	0	0	0
ENSMUSG00000003062	54	0	320	0	0	0
ENSMUSG00000003068	0	0	803	0	20	0
ENSMUSG00000003072	0	361	0	177	0	436
ENSMUSG00000003099	299	0	1426	0	58	0
ENSMUSG00000003119	584	0	2379	0	542	110
ENSMUSG00000003123	0	0	603	324	0	0
ENSMUSG00000003131	295	571	674	1091	595	0
ENSMUSG00000003134	2	146	690	0	0	0
ENSMUSG00000003135	0	0	344	82	230	0
ENSMUSG00000003153	0	0	0	0	127	190
ENSMUSG00000003154	0	81	942	430	588	0
ENSMUSG00000003161	508	269	433	0	100	311
ENSMUSG00000003166	77	162	315	0	0	302
ENSMUSG00000003184	5	0	32	0	0	0
ENSMUSG00000003199	0	0	419	0	778	0
ENSMUSG00000003200	0	107	343	0	0	0
ENSMUSG00000003206	0	0	61	0	0	0
ENSMUSG00000003208	0	0	8	0	0	0
ENSMUSG00000003226	0	0	3222	368	746	1056
ENSMUSG00000003228	0	0	114	0	0	0
ENSMUSG00000003233	489	444	1533	0	1082	0
ENSMUSG00000003234	0	138	0	0	0	0
ENSMUSG00000003235	144	0	0	0	378	0
ENSMUSG00000003269	603	198	1257	0	0	0
ENSMUSG00000003279	519	0	581	0	0	54
ENSMUSG00000003283	0	8	400	0	0	0
ENSMUSG00000003299	0	48	0	0	0	0
ENSMUSG00000003308	0	0	262	152	704	0
ENSMUSG00000003316	516	125	5106	258	0	0
ENSMUSG00000003344	0	0	285	0	0	0
ENSMUSG00000003345	0	0	334	601	0	0
ENSMUSG00000003346	67	77	804	217	0	0
ENSMUSG00000003348	0	0	763	0	0	0
ENSMUSG00000003352	0	36	1057	0	0	58
ENSMUSG00000003360	0	395	461	86	0	0
ENSMUSG00000003363	0	29	1499	0	99	0
ENSMUSG00000003378	0	319	0	89	0	0
ENSMUSG00000003380	1	0	92	0	85	0
ENSMUSG00000003402	0	71	1737	0	430	281
ENSMUSG00000003410	1971	1741	7214	0	1568	1231
ENSMUSG00000003420	0	0	46	0	746	0
ENSMUSG00000003421	0	0	825	0	0	0
ENSMUSG00000003429	46	0	444	1	24	0
ENSMUSG00000003435	30	865	1827	0	897	402
ENSMUSG00000003437	434	53	2189	195	0	0
ENSMUSG00000003438	16	0	0	0	0	0
ENSMUSG00000003452	495	7	1035	0	0	224
ENSMUSG00000003458	0	0	643	0	405	358
ENSMUSG00000003464	0	353	0	0	0	0
ENSMUSG00000003500	0	0	0	0	0	0
ENSMUSG00000003518	83	41	1523	0	0	0
ENSMUSG00000003526	0	0	6	0	0	0
ENSMUSG00000003527	226	15	150	0	0	0
ENSMUSG00000003528	0	0	0	613	0	0
ENSMUSG00000003534	812	1346	4733	0	1196	1657
ENSMUSG00000003545	0	0	1264	0	0	0
ENSMUSG00000003546	0	0	0	0	140	0
ENSMUSG00000003573	0	0	382	0	0	0
ENSMUSG00000003575	0	252	909	0	0	0
ENSMUSG00000003581	0	0	154	0	0	0
ENSMUSG00000003585	0	2	699	0	2	0
ENSMUSG00000003604	0	109	0	0	0	0
ENSMUSG00000003623	0	81	0	0	643	0
ENSMUSG00000003644	0	0	0	772	280	0
ENSMUSG00000003660	0	625	3054	0	1208	435
ENSMUSG00000003662	0	0	0	0	666	0
ENSMUSG00000003665	0	0	61	0	0	179
ENSMUSG00000003721	0	0	109	0	0	0
ENSMUSG00000003731	0	36	631	0	0	0
ENSMUSG00000003746	356	498	3338	0	0	0
ENSMUSG00000003762	0	11	683	0	10	0
ENSMUSG00000003778	0	398	495	60	113	108
ENSMUSG00000003808	0	5	33	0	0	0
ENSMUSG00000003810	0	0	383	0	0	0
ENSMUSG00000003813	0	0	5	0	0	0
ENSMUSG00000003814	297	1275	10867	925	1091	2516
ENSMUSG00000003847	562	60	2171	510	0	972
ENSMUSG00000003863	0	154	0	0	0	549
ENSMUSG00000003865	0	0	173	0	548	106
ENSMUSG00000003868	0	0	598	0	0	576
ENSMUSG00000003873	0	0	0	0	87	0
ENSMUSG00000003923	0	33	44	0	0	0
ENSMUSG00000003929	0	0	251	0	0	0
ENSMUSG00000003934	1413	524	2596	0	0	54
ENSMUSG00000003948	0	0	0	0	0	0
ENSMUSG00000003955	0	45	366	0	0	0
ENSMUSG00000003970	759	932	3255	416	1325	1344
ENSMUSG00000003974	0	0	0	0	0	184
ENSMUSG00000003992	0	0	764	0	20	0
ENSMUSG00000004031	156	0	0	0	3	0
ENSMUSG00000004032	0	0	1052	0	410	0
ENSMUSG00000004035	0	67	0	0	279	0
ENSMUSG00000004040	0	62	1387	0	531	0
ENSMUSG00000004043	460	0	0	0	0	0
ENSMUSG00000004054	0	0	309	0	0	0
ENSMUSG00000004056	0	0	337	0	0	0
ENSMUSG00000004069	0	0	480	0	85	0
ENSMUSG00000004070	8	5	839	0	245	520
ENSMUSG00000004071	369	7	864	0	163	0
ENSMUSG00000004085	218	59	1	0	212	0
ENSMUSG00000004096	491	0	1426	2	237	0
ENSMUSG00000004099	63	5	112	97	453	845
ENSMUSG00000004100	0	2	363	0	18	14
ENSMUSG00000004105	0	0	0	830	0	0
ENSMUSG00000004110	0	0	183	664	0	0
ENSMUSG00000004113	0	0	1312	0	274	0
ENSMUSG00000004187	0	99	0	0	0	0
ENSMUSG00000004207	701	930	5791	0	763	2024
ENSMUSG00000004221	0	8	43	0	0	0
ENSMUSG00000004233	0	16	2	0	0	0
ENSMUSG00000004263	116	25	2149	117	748	224
ENSMUSG00000004264	0	0	0	0	2	0
ENSMUSG00000004267	260	0	864	0	0	0
ENSMUSG00000004268	0	0	6	0	0	0
ENSMUSG00000004270	316	0	541	0	0	0
ENSMUSG00000004319	468	903	3591	0	538	0
ENSMUSG00000004347	0	0	417	0	0	0
ENSMUSG00000004356	0	0	826	0	0	0
ENSMUSG00000004360	209	0	0	0	0	0
ENSMUSG00000004364	0	383	660	629	134	514
ENSMUSG00000004366	0	0	115	0	0	0
ENSMUSG00000004383	0	635	1542	0	207	269
ENSMUSG00000004394	488	0	697	2	0	0
ENSMUSG00000004415	0	36	62	0	0	0
ENSMUSG00000004451	0	0	474	0	0	0
ENSMUSG00000004455	126	62	984	204	0	489
ENSMUSG00000004460	0	134	0	2029	0	130
ENSMUSG00000004462	0	0	0	0	293	0
ENSMUSG00000004500	432	0	0	0	0	0
ENSMUSG00000004508	0	281	612	0	0	257
ENSMUSG00000004530	0	105	1007	0	477	0
ENSMUSG00000004535	915	298	4129	0	0	829
ENSMUSG00000004558	0	16	0	366	0	0
ENSMUSG00000004561	0	0	102	0	0	0
ENSMUSG00000004565	121	0	1308	0	0	0
ENSMUSG00000004567	0	172	664	0	10	0
ENSMUSG00000004568	0	0	1173	0	150	0
ENSMUSG00000004591	0	395	717	0	0	7
ENSMUSG00000004609	0	0	529	0	0	0
ENSMUSG00000004626	0	0	0	0	0	127
ENSMUSG00000004630	0	0	0	0	0	0
ENSMUSG00000004631	414	0	183	0	0	0
ENSMUSG00000004633	0	204	1775	184	1458	224
ENSMUSG00000004637	0	84	0	0	0	0
ENSMUSG00000004642	226	0	0	0	0	0
ENSMUSG00000004665	0	0	206	0	0	0
ENSMUSG00000004667	0	61	0	0	0	0
ENSMUSG00000004677	0	388	1058	388	1091	858
ENSMUSG00000004698	19	0	21	31	0	0
ENSMUSG00000004730	0	0	0	0	0	154
ENSMUSG00000004768	0	0	620	0	0	0
ENSMUSG00000004771	0	54	164	0	96	14
ENSMUSG00000004788	0	249	680	0	0	0
ENSMUSG00000004789	359	176	708	424	335	141
ENSMUSG00000004798	0	813	997	0	428	0
ENSMUSG00000004815	0	172	286	0	0	0
ENSMUSG00000004843	0	0	383	0	0	0
ENSMUSG00000004846	177	0	2040	0	130	0
ENSMUSG00000004849	0	57	613	0	0	0
ENSMUSG00000004865	99	332	2840	0	681	449
ENSMUSG00000004880	0	189	1502	0	2	0
ENSMUSG00000004891	787	0	583	694	273	0
ENSMUSG00000004892	652	1415	9914	1946	469	2187
ENSMUSG00000004894	46	0	412	0	0	0
ENSMUSG00000004895	0	106	0	0	0	0
ENSMUSG00000004896	0	151	249	0	0	34
ENSMUSG00000004897	88	0	793	359	180	0
ENSMUSG00000004929	0	0	200	0	0	0
ENSMUSG00000004931	453	151	2	0	0	228
ENSMUSG00000004934	0	0	136	0	0	0
ENSMUSG00000004936	546	69	94	0	376	0
ENSMUSG00000004937	272	72	269	543	0	786
ENSMUSG00000004945	0	0	0	55	0	0
ENSMUSG00000004952	0	0	462	0	0	0
ENSMUSG00000004980	1520	577	7597	662	888	4059
ENSMUSG00000004994	0	0	18	0	0	0
ENSMUSG00000004996	0	0	527	0	0	0
ENSMUSG00000005034	329	133	1735	160	561	0
ENSMUSG00000005043	0	152	637	0	0	0
ENSMUSG00000005045	0	49	969	0	0	0
ENSMUSG00000005057	12	0	3	0	0	0
ENSMUSG00000005069	0	0	0	0	0	0
ENSMUSG00000005078	0	0	305	0	0	0
ENSMUSG00000005089	1040	172	2844	0	118	486
ENSMUSG00000005102	0	0	298	0	0	0
ENSMUSG00000005103	823	494	1565	0	628	481
ENSMUSG00000005125	394	0	1161	0	413	0
ENSMUSG00000005142	0	24	2738	0	0	4
ENSMUSG00000005161	293	325	1473	0	1370	141
ENSMUSG00000005198	772	662	4775	0	512	162
ENSMUSG00000005204	151	0	278	0	0	641
ENSMUSG00000005225	0	0	29	0	0	0
ENSMUSG00000005262	0	0	520	0	0	328
ENSMUSG00000005267	0	372	220	0	0	0
ENSMUSG00000005299	0	0	2210	439	0	0
ENSMUSG00000005312	1734	669	2015	223	481	0
ENSMUSG00000005338	0	0	2034	0	442	0
ENSMUSG00000005354	0	0	252	0	216	0
ENSMUSG00000005360	71	114	954	279	0	12
ENSMUSG00000005362	3	14	824	0	0	0
ENSMUSG00000005370	0	342	0	0	1229	0
ENSMUSG00000005371	0	133	889	0	0	0
ENSMUSG00000005374	0	66	0	0	341	0
ENSMUSG00000005378	0	13	0	0	230	0
ENSMUSG00000005397	287	0	979	1713	0	0
ENSMUSG00000005410	0	0	121	0	0	0
ENSMUSG00000005417	353	647	1929	1447	859	250
ENSMUSG00000005442	831	717	1907	0	501	463
ENSMUSG00000005447	0	0	0	0	0	0
ENSMUSG00000005469	0	40	603	311	1228	0
ENSMUSG00000005481	0	310	0	0	0	0
ENSMUSG00000005483	50	0	0	0	0	0
ENSMUSG00000005501	14	37	54	0	0	654
ENSMUSG00000005510	8	33	593	9	0	19
ENSMUSG00000005514	70	0	716	265	0	0
ENSMUSG00000005533	84	148	891	249	492	304
ENSMUSG00000005534	2030	100	2237	333	366	1421
ENSMUSG00000005566	1068	316	2328	0	444	0
ENSMUSG00000005575	0	0	261	0	222	278
ENSMUSG00000005580	308	0	0	0	0	86
ENSMUSG00000005583	0	0	202	0	234	315
ENSMUSG00000005609	470	282	1295	721	1	93
ENSMUSG00000005610	3376	1874	12538	2450	1454	1400
ENSMUSG00000005615	273	170	167	0	0	0
ENSMUSG00000005621	274	55	437	0	309	211
ENSMUSG00000005625	0	0	1199	0	0	0
ENSMUSG00000005656	450	55	1106	29	0	191
ENSMUSG00000005667	0	0	0	8	0	0
ENSMUSG00000005672	0	0	76	0	43	0
ENSMUSG00000005682	277	214	166	0	0	0
ENSMUSG00000005683	183	339	1670	381	11	0
ENSMUSG00000005687	0	0	0	0	0	367
ENSMUSG00000005698	0	2	223	230	503	15
ENSMUSG00000005699	0	0	0	0	0	0
ENSMUSG00000005716	0	0	0	0	0	0
ENSMUSG00000005732	18	84	1239	51	19	316
ENSMUSG00000005774	0	89	0	0	0	0
ENSMUSG00000005779	1	0	84	133	8	0
ENSMUSG00000005802	0	0	226	0	152	0
ENSMUSG00000005813	230	0	0	0	0	0
ENSMUSG00000005823	0	0	57	0	0	370
ENSMUSG00000005846	163	0	911	0	0	0
ENSMUSG00000005871	2314	582	3256	637	1999	361
ENSMUSG00000005873	1797	783	5259	0	0	1097
ENSMUSG00000005881	8	230	1474	0	269	389
ENSMUSG00000005882	0	0	295	0	0	0
ENSMUSG00000005886	370	193	1652	0	967	74
ENSMUSG00000005893	0	601	1054	324	68	0
ENSMUSG00000005897	0	105	0	217	0	0
ENSMUSG00000005899	27	0	0	0	438	0
ENSMUSG00000005907	0	0	46	0	0	96
