"Gene","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46"
"ENSMUSG00000020358","2","4","0","14","0","0","20","2","8","4","9","1","12","1","1","17","2","5","9","0","0","1","1","0","0","2","1","3","5","6","8","0","1","5","8","2","16","13","14","3","6","0","9","9","24","2","14","30","1","2","1","0","1"
"ENSMUSG00000020359","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0"
"ENSMUSG00000020361","2","9","1","21","1","0","9","3","11","6","10","0","6","4","0","12","1","5","10","5","2","3","0","0","2","3","3","1","9","10","13","0","1","15","7","14","18","12","13","1","5","1","10","8","10","5","19","20","3","0","0","0","1"
"ENSMUSG00000020362","0","2","0","6","1","1","14","2","2","2","2","0","2","0","0","4","1","3","3","0","0","1","0","0","2","1","1","1","0","3","8","0","0","0","1","3","2","2","8","1","2","1","2","3","6","4","3","22","0","0","2","1","2"
"ENSMUSG00000020363","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"ENSMUSG00000020364","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","6","0","0","0","0","0"
"ENSMUSG00000020366","1","7","5","38","3","6","39","8","23","7","18","0","14","7","3","18","4","12","17","6","5","2","0","3","2","2","4","5","21","23","45","1","2","18","18","36","8","40","26","3","7","0","9","15","40","9","35","69","7","3","4","1","3"
"ENSMUSG00000020368","6","16","1","57","3","1","35","6","32","21","23","0","18","6","6","30","3","20","13","12","3","3","6","1","3","4","8","1","22","24","35","3","4","21","12","20","21","29","32","3","11","3","25","34","25","23","34","48","6","3","2","0","4"
"ENSMUSG00000020372","0","1","0","8","0","0","18","4","11","7","7","2","3","0","2","7","0","5","6","0","3","3","0","0","0","0","3","2","7","4","11","0","1","7","7","4","24","13","14","1","4","2","4","8","20","6","13","30","1","1","0","1","2"
"ENSMUSG00000020374","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","5","0","0","0","0","1"
