"Gene_ID","Symbol","iDEP_baseMean","iDEP_log2FC","iDEP_adjPval","Loupe_Average","Loupe_log2FC","Loupe_Pval","log2FC_diff","abs_log2FC_diff"
"ENSMUSG00000028126","Pip5k1a","0.862865111","0.305956998","NA","1.3395591298291343","0.24101114485525724","0.9084151892682217","0.06494585314474274","0.06494585314474274"
"ENSMUSG00000028127","Abcd3","5.738714106","-0.188186377","0.773364297","5.860571193002462","-0.40472547401589454","0.7442524916571583","0.21653909701589455","0.21653909701589455"
"ENSMUSG00000028134","Ptbp2","4.458757157","-0.064334016","NA","5.190791628087895","0.05386624528995032","0.9608453967066286","-0.11820026128995031","0.11820026128995031"
"ENSMUSG00000028136","Snx27","4.259173968","-0.149903998","NA","5.274514073702216","-0.1919025141358679","1","0.041998516135867886","0.041998516135867886"
"ENSMUSG00000028137","Celf3","2.096946609","1.162195737","NA","3.2651753789585145","0.33438407925768066","0.7509932214049336","0.8278116577423194","0.8278116577423194"
"ENSMUSG00000028138","Adh5","8.232937522","-0.230488296","0.720763823","8.288522115817768","-0.5284707860243829","0.585814380574951","0.29798249002438293","0.29798249002438293"
"ENSMUSG00000028145","Them4","1.585324787","0.711774554","NA","2.3442284772009847","0.3684638434477655","0.7014333979778634","0.3433107105522345","0.3433107105522345"
"ENSMUSG00000028149","Rap1gds1","3.188505996","-0.734354816","NA","4.018677389487403","-0.11873289045068747","1","-0.6156219255493125","0.6156219255493125"
"ENSMUSG00000028152","Tspan5","9.84227925","0.016736447","0.980561453","15.07004021057776","0.24144796116043077","0.6484420299140149","-0.22471151416043078","0.22471151416043078"
"ENSMUSG00000028156","Eif4e","5.09923031","-0.716582126","NA","4.269844726330366","-0.8898780743262065","0.13802808494569138","0.17329594832620643","0.17329594832620643"
"ENSMUSG00000028161","Ppp3ca","13.80480822","-0.332235051","0.641109526","20.00966450182269","0.1707786742666384","0.7067242338656681","-0.5030137252666385","0.5030137252666385"
"ENSMUSG00000028163","Nfkb1","0.39425254","0.732174916","NA","1.0046693473718507","0.6175478259239293","0.6745357546679122","0.11462709007607064","0.11462709007607064"
"ENSMUSG00000028164","Manba","1.017544732","0.539212262","NA","1.1721142386004924","0.39228246296588143","0.8107505511249452","0.14692979903411862","0.14692979903411862"
