FeatureID,FeatureName,dtcl calca8 Average,dtcl calca8 Log2 Fold Change,dtcl calca8 P-Value,dtdt caca Average,dtdt caca Log2 Fold Change,dtdt caca P-Value
ENSMUSG00000020611,Gna13,3.432620270187156,0.7699060006016086,0.2147835330520461,1.9168232717808482,-0.7699060006016086,0.2147835330520461
ENSMUSG00000055024,Ep300,3.432620270187156,0.7699060006016086,0.1763810485238068,1.9168232717808482,-0.7699060006016086,0.1763810485238068
ENSMUSG00000023764,Sfi1,3.516342715801477,0.7696376171870332,0.48612400850868936,1.9631980283561914,-0.7696376171870332,0.48612400850868936
ENSMUSG00000028412,Slc44a1,3.600065161415798,0.7693814795847823,0.14391264026794656,2.0095727849315344,-0.7693814795847823,0.14391264026794656
ENSMUSG00000004815,Dgkq,3.683787607030119,0.7691367683568375,0.2804865034635989,2.0559475415068773,-0.7691367683568375,0.2804865034635989
ENSMUSG00000003378,Grik5,3.76751005264444,0.7689027355814213,0.3266580108281262,2.1023222980822207,-0.7689027355814213,0.3266580108281273
ENSMUSG00000027829,Ccnl1,4.353567171944686,0.7675125688710311,0.2501079007047346,2.4269455941096223,-0.7675125688710311,0.2501079007047346
ENSMUSG00000059713,Rcan3,4.353567171944686,0.7675125688710311,0.19219597225911147,2.4269455941096223,-0.7675125688710311,0.19219597225911147
ENSMUSG00000069227,Gprin1,4.521012063173328,0.7671805713915112,0.3084641404392781,2.5196951072603087,-0.7671805713915112,0.3084641404392781
ENSMUSG00000009394,Syn2,9.376913908803939,0.7669470437182642,0.15369763839054013,5.193972736438427,-0.7669470437182642,0.15369763839054013
ENSMUSG00000009555,Cdk9,5.358236519316537,0.7584103617637792,0.08267051011839607,2.9989009252055205,-0.7584103617637792,0.08267051011839607
ENSMUSG00000030055,Rab43,4.186122280716044,0.7584103617637792,0.3218630883846307,2.349654333150717,-0.7584103617637792,0.32186308838463124
ENSMUSG00000000202,Btbd17,2.176783585972343,0.7584103617637792,0.6420303477743676,1.2366601753424826,-0.7584103617637792,0.6420303477743676
ENSMUSG00000005873,Reep5,5.358236519316537,0.7584103617637792,0.3897052846807671,2.9989009252055205,-0.7584103617637792,0.3897052846807671
ENSMUSG00000026600,Soat1,1.0883917929861715,0.7584103617637791,0.5519911839010495,0.6337883398630224,-0.7584103617637791,0.5519911839010495
ENSMUSG00000016181,Utp25,1.6744489122864177,0.7584103617637791,0.3828205619624255,0.9584116358904241,-0.7584103617637791,0.3828205619624255
ENSMUSG00000048109,Rbm15,2.260506031586664,0.7584103617637791,0.4483085595658307,1.2830349319178258,-0.7584103617637791,0.4483085595658307
ENSMUSG00000025510,Cd151,1.0883917929861715,0.7584103617637791,0.5573357922790527,0.6337883398630224,-0.7584103617637791,0.5573357922790527
ENSMUSG00000002996,Hbp1,1.6744489122864177,0.7584103617637791,0.41962386470192464,0.9584116358904241,-0.7584103617637791,0.41962386470192464
ENSMUSG00000021587,Pcsk1,1.6744489122864177,0.7584103617637791,0.585814380574951,0.9584116358904241,-0.7584103617637791,0.585814380574951
ENSMUSG00000000957,Mmp14,1.1721142386004924,0.7584103617637791,0.5726305889070393,0.6801630964383655,-0.7584103617637791,0.5726305889070399
ENSMUSG00000022323,Rida,1.0883917929861715,0.7584103617637791,0.6266937046081419,0.6337883398630224,-0.7584103617637791,0.6266937046081426
ENSMUSG00000027881,Prpf38b,4.855901845630611,0.758410361763779,0.22771588950121485,2.720652385753462,-0.758410361763779,0.22771588950121485
ENSMUSG00000030094,Xpc,1.2558366842148132,0.758410361763779,0.585814380574951,0.7265378530137085,-0.758410361763779,0.585814380574951
ENSMUSG00000030880,Polr3e,2.0093386947437013,0.758410361763779,0.4182359386403376,1.1439106621917965,-0.758410361763779,0.4182359386403376
ENSMUSG00000063849,Ppcdc,1.3395591298291343,0.758410361763779,0.539315534946174,0.7729126095890517,-0.758410361763779,0.5393155349461742
ENSMUSG00000053716,Dusp7,1.4232815754434551,0.758410361763779,0.4928097445369134,0.8192873661643948,-0.758410361763779,0.4928097445369134
ENSMUSG00000006676,Usp19,5.860571193002462,0.758410361763779,0.11525327286886843,3.277149464657579,-0.758410361763779,0.11525327286886843
ENSMUSG00000038453,Srcin1,11.637419940390604,0.758410361763779,0.13802052099152756,6.477007668356253,-0.758410361763779,0.13802052099152756
ENSMUSG00000037486,Asxl2,2.4279509228153056,0.758410361763779,0.4486032479139051,1.375784445068512,-0.758410361763779,0.4486032479139051
ENSMUSG00000061607,Mdc1,1.2558366842148132,0.758410361763779,0.5330136555910565,0.7265378530137085,-0.758410361763779,0.5330136555910565
ENSMUSG00000024384,Iws1,2.3442284772009847,0.758410361763779,0.37730212774331495,1.329409688493169,-0.758410361763779,0.37730212774331495
ENSMUSG00000027366,Sppl2a,1.9256162491293805,0.7584103617637789,0.3284639304091337,1.0975359056164533,-0.7584103617637789,0.3284639304091337
ENSMUSG00000063810,Alms1,1.0046693473718507,0.7584103617637789,0.585814380574951,0.5874135832876792,-0.7584103617637789,0.585814380574951
