gene_id,gene,ctl1,ctl2,ctl3,dta1,dta2,dta3
ENSMUSG00000052459,Atp6v1a,30,101,88,564,547,8
ENSMUSG00000052468,Pmp2,0,0,0,0,0,0
ENSMUSG00000052469,Tcp10c,0,0,0,0,0,0
ENSMUSG00000052485,Tmem171,0,0,0,0,0,0
ENSMUSG00000052488,Cherp,2,14,36,112,115,3
ENSMUSG00000052496,Pkdrej,0,0,0,0,0,0
ENSMUSG00000052504,Epha3,2,2,10,25,35,1
ENSMUSG00000052512,Nav2,0,0,31,30,58,0
ENSMUSG00000052516,Robo2,17,35,8,292,208,9
ENSMUSG00000052520,Cyp2j5,0,0,0,0,0,0
ENSMUSG00000052525,Spdya,0,1,0,5,4,0
ENSMUSG00000052533,Nup188,0,3,19,32,27,6
ENSMUSG00000052534,Pbx1,5,15,20,78,125,4
ENSMUSG00000052539,Magi3,0,1,1,12,20,0
ENSMUSG00000052544,St6galnac3,2,1,5,13,17,1
ENSMUSG00000052549,Arl13a,0,0,0,0,0,0
ENSMUSG00000052551,Adarb2,0,0,14,2,25,0
ENSMUSG00000052557,Gan,0,1,10,22,22,0
ENSMUSG00000052560,Cpne8,5,52,9,179,206,9
ENSMUSG00000052562,Slc22a30,0,0,0,0,0,0
ENSMUSG00000052566,Hook2,3,3,8,20,51,2
ENSMUSG00000052572,Dlg2,35,141,75,744,541,20
ENSMUSG00000052581,Lrrtm4,4,5,7,58,42,1
ENSMUSG00000052584,Serp2,3,26,22,174,160,3
ENSMUSG00000052593,Adam17,0,14,16,42,40,2
ENSMUSG00000052595,A1cf,0,4,1,4,6,0
ENSMUSG00000052605,Isoc2b,4,3,2,21,19,0
ENSMUSG00000052609,Plekhg3,0,0,4,3,4,0
ENSMUSG00000052613,Pcdh15,0,1,7,7,22,0
ENSMUSG00000052616,Terb1,0,0,0,0,2,0
ENSMUSG00000052631,Sh2d6,0,0,0,0,0,0
ENSMUSG00000052632,Asap2,3,1,13,44,63,0
ENSMUSG00000052642,Lypd9,0,0,0,0,0,0
ENSMUSG00000052656,Rnf103,6,21,35,158,132,8
ENSMUSG00000052675,Zfp112,0,0,2,10,4,0
ENSMUSG00000052676,Zmat1,0,1,3,12,11,0
ENSMUSG00000052681,Rap1b,5,28,27,184,160,4
ENSMUSG00000052684,Jun,1,3,24,31,15,5
ENSMUSG00000052688,Rab7b,0,0,1,0,0,0
ENSMUSG00000052698,Tln2,10,47,21,213,158,6
ENSMUSG00000052707,Tnrc6a,1,12,30,77,61,6
ENSMUSG00000052713,Zfp608,1,5,23,69,83,4
ENSMUSG00000052726,Kcnt2,0,0,1,0,1,0
ENSMUSG00000052727,Map1b,30,120,111,622,701,13
ENSMUSG00000052738,Suclg1,12,42,24,215,178,5
ENSMUSG00000052748,Swt1,1,2,3,13,4,1
ENSMUSG00000052749,Trim30b,0,0,0,0,0,0
ENSMUSG00000052751,Repin1,2,8,26,87,79,1
ENSMUSG00000052752,Traf7,1,12,27,67,71,3
ENSMUSG00000052759,Gpr25,0,0,0,0,1,0
ENSMUSG00000052763,Zfp212,0,1,8,25,9,0
ENSMUSG00000052776,Oas1a,0,1,0,0,0,0
ENSMUSG00000052783,Grk4,1,1,6,5,2,0
