Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000053303,Slc22a26,0.000006915276324977702,-1.3308352519711129,1,0,1.3308352519711129,1
ENSMUSG00000063590,Slc22a28,0.000027661105299910808,-3.008907157083751,0.0023017325916797828,0.0002435403975560406,3.008907157083751,0.0023017325916797828
ENSMUSG00000075044,Slc22a29,0.00011755969752462094,0.8390897494711993,0.5039947538858257,0.00003479148536514866,-0.8390897494711993,0.5039947538858257
ENSMUSG00000052562,Slc22a30,0.000006915276324977702,-1.3308352519711129,1,0,1.3308352519711129,1
ENSMUSG00000063796,Slc22a8,0.009646810473343894,-5.736183999754005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027465188949385793,0.5145660685505486,5.736183999754005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002746518894938267
ENSMUSG00000024650,Slc22a6,0.0026347202798165043,-5.05661637288014,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008141684618598052,0.0878832920323655,5.05661637288014,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008141684618598052
ENSMUSG00000032773,Chrm1,0.0005463068296732384,-2.435171911785849,0.0000000000009748687921710927,0.002957276256037636,2.435171911785849,0.0000000000009748687921710927
ENSMUSG00000010095,Slc3a2,0.23866693180395543,-1.7014087453471225,0.00000000000015415619058273106,0.7761980384964665,1.7014087453471225,0.00000000000015415619058271351
ENSMUSG00000042729,Wdr74,0.08942835343461164,0.5822597719264024,0.06191847155349199,0.05970218888659509,-0.5822597719264024,0.06191847155349282
ENSMUSG00000010110,Stx5a,0.25935052329196373,0.3175478745834721,0.3436032117209778,0.20808787396895412,-0.3175478745834721,0.34360321172097247
ENSMUSG00000010097,Nxf1,0.33191943304627974,0.14976053247553356,0.7105451616849483,0.2991719826549133,-0.14976053247553356,0.710545161684928
ENSMUSG00000117924,Tmem223,0.12601708047006865,0.06116554729251966,0.9380387614204725,0.12076124570243099,-0.06116554729251966,0.9380387614207665
ENSMUSG00000118346,Tmem179b,0.01856751693256513,-1.0415673334929014,0.00004388619826939648,0.03820105093093323,1.0415673334929014,0.0000438861982693971
ENSMUSG00000003680,Taf6l,0.04239064387211331,0.0761457548369755,0.8993161981709302,0.0401841655967467,-0.0761457548369755,0.8993161981709302
ENSMUSG00000071662,Polr2g,0.06312264229439646,-0.11049581500294758,0.7573388840309724,0.06812172834496107,0.11049581500294758,0.7573388840309724
ENSMUSG00000071661,Zbtb3,0.019667045868236584,0.29788763427845666,0.43829388338609465,0.015969291782603232,-0.29788763427845666,0.43829388338609465
ENSMUSG00000071660,Ttc9c,0.07929747361851931,-0.009787501031759405,1,0.07981166742765101,0.009787501031759405,1
ENSMUSG00000071659,Hnrnpul2,0.35908263845079214,0.5086021070415727,0.10592498119021691,0.25237743483878833,-0.5086021070415727,0.10592498119020176
ENSMUSG00000071657,Bscl2,0.3126673037575418,1.0951024885037484,0.00024948522302773856,0.14633298744581524,-1.0951024885037484,0.0002494852230276858
ENSMUSG00000071656,Lrrn4cl,0.004723133729959771,0.13282095252791049,0.8307082577201281,0.004279352699913285,-0.13282095252791049,0.8307082577201281
ENSMUSG00000071655,Ubxn1,0.16810345218388295,-0.31927599309278865,0.2794247647803943,0.2097230737811161,0.31927599309278865,0.27942476478038536
ENSMUSG00000071654,Uqcc3,0.08639254712794643,-0.11742157286790222,0.7375440984781321,0.09369347008834533,0.11742157286790222,0.7375440984781321
ENSMUSG00000096740,Lbhd1,0.014722623295877528,0.35076303179516355,0.3520462390745125,0.011515981655864205,-0.35076303179516355,0.3520462390745125
ENSMUSG00000071652,Ints5,0.010877729659189926,0.17564240748718518,0.7161962642605306,0.009602449960781028,-0.17564240748718518,0.7161962642605306
ENSMUSG00000071650,Ganab,0.2627390086912028,-0.1854197705088667,0.56160981530917,0.2987544848305315,0.1854197705088667,0.5616098153091661
