Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000028240,Cyp7a1,0.00005791819831331794,1.0520960583848566,0.6694112767616647,0.000027931615843336427,-1.0520960583848566,0.6694112767616647
ENSMUSG00000028249,Sdcbp,0.5989610478571775,-0.09442129669266497,0.6173648858393816,0.6394803789252659,0.09442129669266497,0.6173648858393816
ENSMUSG00000028245,Nsmaf,0.3903396975326063,-0.5046953676737985,0.002252948349986656,0.5538420447495963,0.5046953676737985,0.002252948349986656
ENSMUSG00000041272,Tox,0.07850811781370247,-0.450967431604691,0.007709013849552305,0.10734119968594188,0.450967431604691,0.007709013849552298
ENSMUSG00000041261,Car8,0.18603325298237722,-0.17771926303952723,0.32496991110892093,0.21043679376369664,0.17771926303952723,0.32496991110892093
ENSMUSG00000047187,Rab2a,1.1303025991835562,-0.6119385061521199,0.00019398716856465842,1.7274587134469848,0.6119385061521199,0.00019398716856465842
ENSMUSG00000041235,Chd7,0.7717889516241182,1.7924216740741687,0.0000000000000000000000000000000009844182451327691,0.222796533774373,-1.7924216740741687,0.0000000000000000000000000000000009844182451327691
ENSMUSG00000041216,Clvs1,0.06666384625862895,-2.1793512906716397,0.000000000000000000000000000000000010943495853342822,0.3020664595377618,2.1793512906716397,0.000000000000000000000000000000000010943495853342822
ENSMUSG00000028207,Asph,0.8728272485817014,-0.9116124616793417,0.00000002725308681061516,1.6419321057346885,0.9116124616793417,0.00000002725308681061516
ENSMUSG00000051279,Gdf6,0.0015058731561462665,-1.9307899207512964,0.00000000000014168651350839517,0.005837707711257314,1.9307899207512964,0.00000000000014168651350839517
ENSMUSG00000049969,Plekhf2,0.0983161416368572,2.238684981682656,0.0000000000000000000000000000000000000000000000003293620100686795,0.020823019611207305,-2.238684981682656,0.00000000000000000000000000000000000000000000000032936201006873567
ENSMUSG00000050323,Ndufaf6,0.092813912797092,-1.2424845626981074,0.00000000000009870238023490249,0.21965422699199766,1.2424845626981074,0.00000000000009870238023490249
ENSMUSG00000028211,Trp53inp1,0.19955715228853696,1.3554614792391266,0.00000000000000000023093664944347765,0.07798507143459531,-1.3554614792391266,0.00000000000000000023093664944347765
ENSMUSG00000028212,Ccne2,0.03327400493100116,-1.159864162854669,0.000000000010832533883731634,0.07439585879872658,1.159864162854669,0.000000000010832533883731634
ENSMUSG00000040738,Ints8,0.23862297705086993,0.19554646124380515,0.25076257653835665,0.2083838199992114,-0.19554646124380515,0.25076257653834083
ENSMUSG00000045205,Dpy19l4,0.3776845712011463,0.7745344304520765,0.0000004545406864793518,0.2207854574336528,-0.7745344304520765,0.000000454540686479636
ENSMUSG00000040728,Esrp1,0.00017375459493995383,2.8594509804424604,0.010417889958388948,0.000013965807921668214,-2.8594509804424604,0.010417889958388948
ENSMUSG00000040720,Virma,0.23274427992206814,0.25302113059357856,0.12919047095265118,0.19531182378452996,-0.25302113059357856,0.12919047095267308
ENSMUSG00000078773,Rad54b,0.027829694289549272,1.7746370689544007,0.0000000000000000000000002471945012579504,0.0081281002104109,-1.7746370689544007,0.0000000000000000000000002471945012579504
ENSMUSG00000094595,Fsbp,0.039905638637876065,1.058386889751735,0.00000000003203234668219588,0.01916108846852879,-1.058386889751735,0.000000000032032346682188603
ENSMUSG00000028214,Gem,0.032781700245337955,0.05082327926314267,0.8148065638101889,0.03166048655842184,-0.05082327926314267,0.8148065638101654
ENSMUSG00000028217,Cdh17,0.0004054273881932256,-1.9358311093145684,0.0000005998735043087602,0.0016479653347568491,1.9358311093145684,0.0000005998735043087602
ENSMUSG00000049225,Pdp1,0.08270718719141802,-2.022447262108626,0.00000000000000000000000000000019129814523019688,0.3361150992507889,2.022447262108626,0.00000000000000000000000000000019129814523019688
ENSMUSG00000049488,Tmem67,0.10486089804626214,-0.5502866819260182,0.0009287440814870685,0.15358198971458534,0.5502866819260182,0.0009287440814870685
ENSMUSG00000052137,Rbm12b2,0.3283672253373561,0.2961723065147652,0.07059201117625988,0.2674312558920246,-0.2961723065147652,0.07059201117625988
ENSMUSG00000046667,Rbm12b1,0.1018491517339696,0.2547349889698469,0.1297122392361192,0.08537298382515779,-0.2547349889698469,0.1297122392361192
ENSMUSG00000028218,Fam92a,0.2775729654165762,-0.9167167216423783,0.00000002476561456794919,0.5240390106447563,0.9167167216423783,0.000000024765614567970314
ENSMUSG00000055963,Triqk,0.024615234283160127,-1.3040080178443496,0.00000000000007711435513602775,0.06083505930678674,1.3040080178443496,0.00000000000007711435513602775
ENSMUSG00000006586,Runx1t1,0.05577522497572518,-2.07210843706017,0.000000000000000000000000000000009084830386696376,0.23463953889194766,2.07210843706017,0.000000000000000000000000000000009084830386693278
ENSMUSG00000040569,Slc26a7,0.00845605695374442,0.750997885919932,0.0018106910308099851,0.005027690851800557,-0.750997885919932,0.0018106910308099851
ENSMUSG00000023151,Lrrc69,0.0006371001814464974,-0.28232298068570394,0.5868050846518684,0.0007960510515350881,0.28232298068570394,0.5868050846518684
ENSMUSG00000040550,Otud6b,0.2464708929223245,-0.4477498286983499,0.007331945592209391,0.33618492829039726,0.4477498286983499,0.007331945592208558
ENSMUSG00000028221,Pip4p2,0.16857091619091188,-0.5851834040262593,0.0004126239091428295,0.25292078146141134,0.5851834040262593,0.0004126239091429929
ENSMUSG00000040536,Necab1,0.043264894140048506,-2.7313500838084876,0.000000000000000000000000000000000000000000000000002995453593361083,0.2874861560675402,2.7313500838084876,0.000000000000000000000000000000000000000000000000002995453593361083
ENSMUSG00000043252,Tmem64,0.11256401842193342,-0.25040653791485656,0.15312708824556112,0.1339181321608765,0.25040653791485656,0.15312708824545673
ENSMUSG00000028222,Calb1,0.07873979060695574,-2.8754727770483637,0.00000000000000000000000000000000000000000000000000000012039104053362874,0.578016858262004,2.8754727770483637,0.00000000000000000000000000000000000000000000000000000012039104053362874
ENSMUSG00000028223,Decr1,0.19576351029901465,0.9206381560252574,0.0000000019755031716524222,0.10341680765995312,-0.9206381560252574,0.0000000019755031716524222
ENSMUSG00000028224,Nbn,0.1409439355954592,0.1389755529489678,0.42783522770537613,0.12801059541001084,-0.1389755529489678,0.42783522770544685
ENSMUSG00000041153,Osgin2,0.16060716392283064,0.16836458659943432,0.3334320802986415,0.1429260782703525,-0.16836458659943432,0.3334320802984987
ENSMUSG00000041135,Ripk2,0.1079884807551813,-0.024358497415454927,0.93608281447707,0.1098410793039205,0.024358497415454927,0.9360828144772869
ENSMUSG00000028226,Mmp16,0.36983665532969173,0.16721091553798995,0.3334567682167204,0.32936961402462317,-0.16721091553798995,0.3334567682167204
ENSMUSG00000073991,Cnbd1,0.00002895909915665897,-2.0353667828654824,0.031023083055288912,0.00022345292674669142,2.0353667828654824,0.031023083055288912
ENSMUSG00000056494,Cngb3,0.0004923046856632025,1.0520960583848566,0.07320717341991671,0.00023741873466835963,-1.0520960583848566,0.07320717341991671
ENSMUSG00000028228,Cpne3,0.1426525224457021,0.7228661205954126,0.000003377785657316835,0.08643438522720458,-0.7228661205954126,0.000003377785657317783
ENSMUSG00000028229,Rmdn1,0.2381306723652067,-0.07734733819908302,0.6896929250352476,0.25125885031873285,0.07734733819908302,0.6896929250352476
ENSMUSG00000041058,Wwp1,0.38921029266549656,-0.007102430989738728,1,0.39114038246216165,0.007102430989738728,1
ENSMUSG00000041052,Slc7a13,0.00005791819831331794,-1.3629414408939873,0.11117589901469643,0.0002094871188250232,1.3629414408939873,0.11117589901469643
ENSMUSG00000028238,Atp6v0d2,0.00011583639662663588,0.7890616525510623,0.5621646873433119,0.00006982903960834107,-0.7890616525510623,0.5621646873433119
ENSMUSG00000073988,Ttpa,0.10937851751470093,2.4638278303811805,0.000000000000000000000000000000000000000000000000000000000011142489661939646,0.019817481440847193,-2.4638278303811805,0.000000000000000000000000000000000000000000000000000000000011142489661945347
ENSMUSG00000073987,Ggh,0.43734031546386376,1.9434760810292435,0.000000000000000000000000000000000000002966238046689837,0.11369564229030092,-1.9434760810292435,0.000000000000000000000000000000000000002966238046687982
