gene_id,gene,dta1,dta2,dta3,dta4,dta5,dta6,dta7,dta8,dta9,dta10,dta11,dta12,dta13,dta14,dta15,dta16,dta17,dta18,dta19,dta20,dta21,dta22,dta23,dta24,dta25,dta26,dta27,dta28,dta29,dta30,dta31,dta32,dta33,dta34,dta35,dta36,dta37,dta38,dta39,dta40,dta41,dta42,dta43,dta44,dta45,dta46,,dta1,dta2,dta3
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000253,Gmpr,2,9,4,6,0,3,4,1,6,1,1,10,1,4,1,0,0,2,3,2,2,6,5,8,0,0,7,4,12,8,7,11,2,2,0,1,5,5,4,12,12,3,4,0,0,0,,15,9,4
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000266,Mid2,0,3,0,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1,3,2,2,2,3,0,0,0,1,0,1,1,2,4,0,1,0,0,1,,3,2,1
ENSMUSG00000000275,Trim25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0
ENSMUSG00000000276,Dgke,5,13,11,8,0,7,4,2,19,2,9,13,2,3,8,1,0,6,6,3,1,5,13,21,0,0,12,3,20,11,6,16,4,4,0,5,18,12,8,26,44,1,1,1,2,2,,29,20,2
ENSMUSG00000000278,Scpep1,0,0,2,2,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,1,1,1,3,2,0,0,0,0,3,0,1,2,0,1,0,0,0,0,1,4,5,0,1,0,0,0,,2,1,1
ENSMUSG00000000282,Mnt,1,1,3,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0,1,0,4,2,1,0,0,1,0,1,1,1,0,5,5,0,0,0,0,0,,5,1,0
ENSMUSG00000000290,Itgb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000295,Hddc2,1,2,1,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,1,4,0,0,0,1,1,1,0,1,5,0,1,0,0,0,,4,1,1
ENSMUSG00000000296,Tpd52l1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0
ENSMUSG00000000301,Pemt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,,2,2,0
ENSMUSG00000000303,Cdh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000305,Cdh4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,1,0,0
