gene_id,gene,ctl1,ctl2,ctl3,ctl4,ctl5,ctl6,ctl7
ENSMUSG00000019823,Mical1,0,0,0,0,0,0,0
ENSMUSG00000019826,Zbtb24,0,3,0,2,0,0,2
ENSMUSG00000019828,Grm1,19,109,22,591,38,41,140
ENSMUSG00000019831,Wasf1,1,4,0,12,0,0,62
ENSMUSG00000019832,Rab32,0,0,0,0,0,0,1
ENSMUSG00000019834,Slc22a16,0,0,0,0,0,0,0
ENSMUSG00000019837,Gtf3c6,0,3,2,15,1,0,5
ENSMUSG00000019838,Slc16a10,0,1,0,0,0,0,2
ENSMUSG00000019841,Rev3l,0,0,0,3,0,0,13
ENSMUSG00000019842,Traf3ip2,0,2,1,6,0,0,0
ENSMUSG00000019843,Fyn,0,5,1,36,3,1,44
ENSMUSG00000019845,Tube1,0,1,0,2,1,0,1
ENSMUSG00000019846,Lama4,0,0,0,0,0,0,1
ENSMUSG00000019848,Popdc3,0,0,0,0,0,0,1
ENSMUSG00000019849,Prep,1,5,0,17,0,0,7
ENSMUSG00000019850,Tnfaip3,0,0,0,2,0,1,0
ENSMUSG00000019851,Perp,0,0,0,0,0,0,0
ENSMUSG00000019852,Arfgef3,1,4,2,32,1,3,32
ENSMUSG00000019853,Hebp2,0,0,0,1,0,0,3
ENSMUSG00000019854,Reps1,0,1,0,8,2,2,11
ENSMUSG00000019856,Fam184a,1,0,1,8,0,0,4
ENSMUSG00000019857,Asf1a,0,2,0,5,0,0,2
ENSMUSG00000019861,Gopc,0,4,0,15,0,1,18
ENSMUSG00000019863,Qrsl1,0,1,1,13,1,0,7
ENSMUSG00000019864,Rtn4ip1,0,2,0,5,2,1,8
ENSMUSG00000019865,Nmbr,0,0,0,0,0,0,0
ENSMUSG00000019866,Crybg1,0,0,0,0,0,0,0
ENSMUSG00000019867,Gje1,0,0,0,0,0,0,0
ENSMUSG00000019868,Vta1,1,0,0,7,1,0,8
ENSMUSG00000019872,Smpdl3a,0,0,0,0,0,0,4
ENSMUSG00000019873,Reep3,0,1,0,7,3,0,29
ENSMUSG00000019874,Fabp7,1,18,0,46,1,0,136
ENSMUSG00000019876,Pkib,0,4,0,2,1,0,21
ENSMUSG00000019877,Serinc1,24,136,17,301,11,8,121
ENSMUSG00000019878,Hsf2,0,1,0,14,3,3,12
ENSMUSG00000019880,Rspo3,0,10,1,1,0,0,5
ENSMUSG00000019883,Echdc1,0,6,0,7,0,1,7
ENSMUSG00000019888,Mgat4c,0,2,0,0,2,0,0
ENSMUSG00000019889,Ptprk,1,0,0,0,0,0,10
ENSMUSG00000019890,Nts,0,0,0,0,0,0,0
ENSMUSG00000019891,Dcbld1,0,2,0,4,0,1,4
ENSMUSG00000019892,Lrriq1,0,0,0,0,0,0,0
ENSMUSG00000019893,Ros1,0,0,0,0,0,0,0
ENSMUSG00000019894,Slc6a15,0,4,0,5,1,0,6
