Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000040147,Maob,0.0019005639292426447,-3.043605482715745,0.0000000000000000000000000000000000052278107453877644,0.01688659455453002,2.8870284811318676,0.00000000000000000000000000004955630320220379,0.011226293202250267,1.519766276188867,0.003799541459493765
ENSMUSG00000040138,Ndp,0.0109594562343189,-1.1837328492751826,0.0000019785413948100424,0.02947557250006654,1.4464688739558085,0.000000054225189573687304,0.0076468953696487325,-0.7916218659905683,0.5760981821485482
ENSMUSG00000025038,Efhc2,0.004779155281927672,1.3185546818939677,0.00028993747690226436,0.0018232312886639096,-1.3251532022860824,0.001682826528638951,0.002115098719264543,-0.9428222256356129,0.4930884330829003
ENSMUSG00000025040,Fundc1,0.06427929172369193,-0.3672919510110937,0.20750409830734773,0.08682053755542427,0.43063414765495844,0.19370078024681323,0.06817125872091104,0.01982435988201825,0.9645014860892984
ENSMUSG00000025043,Dusp21,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000037369,Kdm6a,0.13564061181145956,0.438534099465,0.16900961720649943,0.1030559780782886,-0.3753767053675845,0.33829071358486446,0.0888341462091108,-0.5596984781775731,0.7797648514522967
ENSMUSG00000037358,Dipk2b,0.0014150183998740858,-5.194918456539461,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007280259725812334,0.0026914366642181524,-2.015461821186074,0.0000003872015935225713,0.2370537564591107,7.214601763230209,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007138841083164438
ENSMUSG00000068149,Tex13c3,0.000013872729410530254,-1.7195804469928024,0.5526810080677981,0.000043410268777712136,2.121000421363199,0.49960236151544557,0,2.765522690590826,1
ENSMUSG00000037347,Chst7,0.022168621598027346,0.08293151124783193,0.9357840610014639,0.014108337352756442,-0.7110094113356684,0.06647298430450782,0.046369471922338056,1.143214833538008,0.024538145875888203
ENSMUSG00000037341,Slc9a7,0.13453079345861713,1.2905710086727056,0.000014921357116010129,0.06320535134034887,-1.039690064118389,0.002421443353123969,0.024079585419319413,-2.3632069335430246,0.00609574826079749
ENSMUSG00000060090,Rp2,0.03646446925557877,-0.3322618064410481,0.26364256707269496,0.050138860438257514,0.4709673633353546,0.15163082724364235,0.02993678187266738,-0.3498795407306545,0.9908867140148234
ENSMUSG00000037315,Jade3,0.028376668009239634,1.4225844541269952,0.000006476838974203861,0.010331643969095488,-1.416231519670232,0.00009809262563738559,0.011388993103732155,-1.1648814995185788,0.2745356745845033
ENSMUSG00000023070,Rgn,0.0002913273176211353,1.1217218069881394,0.16966827716002209,0.0001302308063331364,-0.7203018326177428,0.4613079995185054,0,-0.7580392654661878,0.7356773737649538
ENSMUSG00000031059,Ndufb11,0.11368008115459016,-0.09761802300654443,0.7871597160100078,0.11686044354960107,0.026903620451366184,0.994782243924705,0.13943381556997794,0.29043175922755804,0.6475253879728285
